id,date,year,month,day,day_of_week,day_name,quarter,season,is_weekend,day_gen_kwh,radiation_kwh_m2_day,adj_radiation_kwh_m2_day,performance_ratio_pct,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,adj_performance_ratio_pct
1,2024-08-30,2024,8,30,4,Friday,3,Summer,0,265.28,0.4,0.4,80.03,1.63,1.32,80.03
2,2024-08-31,2024,8,31,5,Saturday,3,Summer,1,2988.07,4.6,4.6,77.68,18.31,14.87,77.68
3,2024-09-01,2024,9,1,6,Sunday,3,Autumn,1,1625.85,4.42,4.42,43.97,9.96,8.09,43.97
4,2024-09-02,2024,9,2,0,Monday,3,Autumn,0,3446.38,5.89,5.89,69.95,21.12,17.15,69.95
5,2024-09-03,2024,9,3,1,Tuesday,3,Autumn,0,1993.12,3.07,3.07,77.43,12.21,9.92,77.43
6,2024-09-04,2024,9,4,2,Wednesday,3,Autumn,0,1749.21,2.71,2.71,76.99,10.72,8.71,76.99
7,2024-09-05,2024,9,5,3,Thursday,3,Autumn,0,3692.9,5.75,5.75,76.75,22.63,18.38,76.75
8,2024-09-06,2024,9,6,4,Friday,3,Autumn,0,1960.18,3.0,3.0,78.03,12.01,9.76,78.03
9,2024-09-07,2024,9,7,5,Saturday,3,Autumn,1,1106.3,4.16,4.16,31.75,6.78,5.51,31.75
10,2024-09-08,2024,9,8,6,Sunday,3,Autumn,1,620.42,2.56,2.56,28.99,3.8,3.09,28.99
11,2024-09-09,2024,9,9,0,Monday,3,Autumn,0,2379.46,3.92,3.92,72.55,14.58,11.84,72.55
12,2024-09-10,2024,9,10,1,Tuesday,3,Autumn,0,4250.46,6.81,6.81,74.55,26.04,21.16,74.55
13,2024-09-11,2024,9,11,2,Wednesday,3,Autumn,0,2833.88,4.42,4.42,76.61,17.36,14.11,76.61
14,2024-09-12,2024,9,12,3,Thursday,3,Autumn,0,3888.32,6.79,6.79,68.39,23.83,19.35,68.39
15,2024-09-13,2024,9,13,4,Friday,3,Autumn,0,3648.3,6.39,6.39,68.25,22.35,18.16,68.25
16,2024-09-14,2024,9,14,5,Saturday,3,Autumn,1,4452.28,6.56,6.56,81.04,27.28,22.16,81.04
17,2024-09-15,2024,9,15,6,Sunday,3,Autumn,1,1066.4,6.14,6.14,20.74,6.53,5.31,20.74
18,2024-09-16,2024,9,16,0,Monday,3,Autumn,0,4000.59,6.61,6.61,72.35,24.51,19.91,72.35
19,2024-09-17,2024,9,17,1,Tuesday,3,Autumn,0,1698.15,6.58,6.58,30.83,10.41,8.45,30.83
20,2024-09-18,2024,9,18,2,Wednesday,3,Autumn,0,4099.85,6.62,6.62,74.02,25.12,20.41,74.02
21,2024-09-19,2024,9,19,3,Thursday,3,Autumn,0,3107.63,4.96,4.96,74.91,19.04,15.47,74.91
22,2024-09-20,2024,9,20,4,Friday,3,Autumn,0,3602.45,6.08,6.08,70.76,22.07,17.93,70.76
23,2024-09-21,2024,9,21,5,Saturday,3,Autumn,1,2834.99,4.39,4.39,77.23,17.37,14.11,77.23
24,2024-09-22,2024,9,22,6,Sunday,3,Autumn,1,1623.85,2.55,2.55,76.07,9.95,8.08,76.07
25,2024-09-23,2024,9,23,0,Monday,3,Autumn,0,3170.23,4.96,4.96,76.29,19.43,15.78,76.29
26,2024-09-24,2024,9,24,1,Tuesday,3,Autumn,0,2885.92,4.62,4.62,74.69,17.68,14.36,74.69
27,2024-09-25,2024,9,25,2,Wednesday,3,Autumn,0,3415.49,5.49,5.49,74.37,20.93,17.0,74.37
28,2024-09-26,2024,9,26,3,Thursday,3,Autumn,0,2198.33,3.39,3.39,77.38,13.47,10.94,77.38
29,2024-09-27,2024,9,27,4,Friday,3,Autumn,0,2893.01,4.65,4.65,74.35,17.73,14.4,74.35
30,2024-09-28,2024,9,28,5,Saturday,3,Autumn,1,2449.22,3.95,3.95,74.11,15.01,12.19,74.11
31,2024-09-29,2024,9,29,6,Sunday,3,Autumn,1,1305.3,6.11,6.11,25.53,8.0,6.5,25.53
32,2024-09-30,2024,9,30,0,Monday,3,Autumn,0,3007.34,5.16,5.16,69.65,18.43,14.97,69.65
33,2024-10-01,2024,10,1,1,Tuesday,4,Autumn,0,3612.39,6.01,6.01,71.81,22.13,17.98,71.81
34,2024-10-02,2024,10,2,2,Wednesday,4,Autumn,0,3245.89,6.9,6.9,56.19,19.89,16.16,56.19
35,2024-10-03,2024,10,3,3,Thursday,4,Autumn,0,3857.3,6.19,6.19,74.42,23.64,19.2,74.42
36,2024-10-04,2024,10,4,4,Friday,4,Autumn,0,3872.45,6.23,6.23,74.27,23.73,19.28,74.27
37,2024-10-05,2024,10,5,5,Saturday,4,Autumn,1,2632.03,4.81,4.81,65.37,16.13,13.1,65.37
38,2024-10-06,2024,10,6,6,Sunday,4,Autumn,1,2034.67,5.04,5.04,48.23,12.47,10.13,48.23
39,2024-10-07,2024,10,7,0,Monday,4,Autumn,0,2698.1,4.32,4.32,74.64,16.53,13.43,74.64
40,2024-10-08,2024,10,8,1,Tuesday,4,Autumn,0,2708.43,4.54,4.54,71.25,16.6,13.48,71.25
41,2024-10-09,2024,10,9,2,Wednesday,4,Autumn,0,1851.49,3.17,3.17,69.75,11.34,9.22,69.75
42,2024-10-10,2024,10,10,3,Thursday,4,Autumn,0,1980.82,3.09,3.09,76.53,12.14,9.86,76.53
43,2024-10-11,2024,10,11,4,Friday,4,Autumn,0,1232.36,5.9,5.9,24.93,7.55,6.13,24.93
44,2024-10-12,2024,10,12,5,Saturday,4,Autumn,1,1382.46,5.1,5.1,32.38,8.47,6.88,32.38
45,2024-10-13,2024,10,13,6,Sunday,4,Autumn,1,2160.08,5.95,5.95,43.39,13.24,10.75,43.39
46,2024-10-14,2024,10,14,0,Monday,4,Autumn,0,1104.28,1.84,1.84,71.81,6.77,5.5,71.81
47,2024-10-15,2024,10,15,1,Tuesday,4,Autumn,0,212.32,0.7,0.7,36.03,1.3,1.06,36.03
