no._x,date,day_gen_kwh,radiation_sensor-day_ins_kwh/m2/day_x,radiation_sensor-day_pr_%_x,no._y,day_gen__kwh,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,radiation_sensor-day_ins_kwh/m2/day_y,radiation_sensor-day_pr_%_y,adj_radiation_sensor-day_ins_kwh/m2/day,adj_radiation_sensor-day_pr_%,hour,day,month,year
1,2024-08-30,265.28,0.4,80.03,1,265.28,1.63,1.32,0.4,80.03,0.4,80.03,0,30,8,2024
2,2024-08-31,2988.07,4.6,77.68,2,2988.07,18.31,14.87,4.6,77.68,4.6,77.68,0,31,8,2024
3,2024-09-01,1625.85,4.42,43.97,3,1625.85,9.96,8.09,4.42,43.97,4.42,43.97,0,1,9,2024
4,2024-09-02,3446.38,5.89,69.95,4,3446.38,21.12,17.15,5.89,69.95,5.89,69.95,0,2,9,2024
5,2024-09-03,1993.12,3.07,77.43,5,1993.12,12.21,9.92,3.07,77.43,3.07,77.43,0,3,9,2024
6,2024-09-04,1749.21,2.71,76.99,6,1749.21,10.72,8.71,2.71,76.99,2.71,76.99,0,4,9,2024
7,2024-09-05,3692.9,5.75,76.75,7,3692.9,22.63,18.38,5.75,76.75,5.75,76.75,0,5,9,2024
8,2024-09-06,1960.18,3.0,78.03,8,1960.18,12.01,9.76,3.0,78.03,3.0,78.03,0,6,9,2024
9,2024-09-07,1106.3,4.16,31.75,9,1106.3,6.78,5.51,4.16,31.75,4.16,31.75,0,7,9,2024
10,2024-09-08,620.42,2.56,28.99,10,620.42,3.8,3.09,2.56,28.99,2.56,28.99,0,8,9,2024
11,2024-09-09,2379.46,3.92,72.55,11,2379.46,14.58,11.84,3.92,72.55,3.92,72.55,0,9,9,2024
12,2024-09-10,4250.46,6.81,74.55,12,4250.46,26.04,21.16,6.81,74.55,6.81,74.55,0,10,9,2024
13,2024-09-11,2833.88,4.42,76.61,13,2833.88,17.36,14.11,4.42,76.61,4.42,76.61,0,11,9,2024
14,2024-09-12,3888.32,6.79,68.39,14,3888.32,23.83,19.35,6.79,68.39,6.79,68.39,0,12,9,2024
15,2024-09-13,3648.3,6.39,68.25,15,3648.3,22.35,18.16,6.39,68.25,6.39,68.25,0,13,9,2024
16,2024-09-14,4452.28,6.56,81.04,16,4452.28,27.28,22.16,6.56,81.04,6.56,81.04,0,14,9,2024
17,2024-09-15,1066.4,6.14,20.74,17,1066.4,6.53,5.31,6.14,20.74,6.14,20.74,0,15,9,2024
18,2024-09-16,4000.59,6.61,72.35,18,4000.59,24.51,19.91,6.61,72.35,6.61,72.35,0,16,9,2024
19,2024-09-17,1698.15,6.58,30.83,19,1698.15,10.41,8.45,6.58,30.83,6.58,30.83,0,17,9,2024
20,2024-09-18,4099.85,6.62,74.02,20,4099.85,25.12,20.41,6.62,74.02,6.62,74.02,0,18,9,2024
21,2024-09-19,3107.63,4.96,74.91,21,3107.63,19.04,15.47,4.96,74.91,4.96,74.91,0,19,9,2024
22,2024-09-20,3602.45,6.08,70.76,22,3602.45,22.07,17.93,6.08,70.76,6.08,70.76,0,20,9,2024
23,2024-09-21,2834.99,4.39,77.23,23,2834.99,17.37,14.11,4.39,77.23,4.39,77.23,0,21,9,2024
24,2024-09-22,1623.85,2.55,76.07,24,1623.85,9.95,8.08,2.55,76.07,2.55,76.07,0,22,9,2024
25,2024-09-23,3170.23,4.96,76.29,25,3170.23,19.43,15.78,4.96,76.29,4.96,76.29,0,23,9,2024
26,2024-09-24,2885.92,4.62,74.69,26,2885.92,17.68,14.36,4.62,74.69,4.62,74.69,0,24,9,2024
27,2024-09-25,3415.49,5.49,74.37,27,3415.49,20.93,17.0,5.49,74.37,5.49,74.37,0,25,9,2024
28,2024-09-26,2198.33,3.39,77.38,28,2198.33,13.47,10.94,3.39,77.38,3.39,77.38,0,26,9,2024
29,2024-09-27,2893.01,4.65,74.35,29,2893.01,17.73,14.4,4.65,74.35,4.65,74.35,0,27,9,2024
30,2024-09-28,2449.22,3.95,74.11,30,2449.22,15.01,12.19,3.95,74.11,3.95,74.11,0,28,9,2024
